UBIGEO;PROVINCIA;DISTRITO;N° EVALUADOS;N° NIÑOS CON ANEMIA;AÑO;ZONAS
1;Cangallo;Cangallo;22;5;2024;Zona Norte
1;Cangallo;Cangallo;22;5;2024;Zona Sur
1;Cangallo;Cangallo;22;5;2024;Zona Este
1;Cangallo;Cangallo;22;5;2024;Zona Oeste
1;Cangallo;Cangallo;22;5;2024;Zona Centro
1;Cangallo;Cangallo;22;5;2024;Zona Noreste
1;Cangallo;Cangallo;21;5;2024;Zona Noroeste
1;Cangallo;Cangallo;21;5;2024;Zona Sureste
1;Cangallo;Cangallo;21;5;2024;Zona Suroeste
2;Cangallo;Chuschi;25;10;2024;Zona Norte
2;Cangallo;Chuschi;25;9;2024;Zona Sur
2;Cangallo;Chuschi;25;9;2024;Zona Este
2;Cangallo;Chuschi;25;9;2024;Zona Oeste
2;Cangallo;Chuschi;25;9;2024;Zona Centro
2;Cangallo;Chuschi;25;9;2024;Zona Noreste
2;Cangallo;Chuschi;25;9;2024;Zona Noroeste
2;Cangallo;Chuschi;24;9;2024;Zona Sureste
2;Cangallo;Chuschi;24;9;2024;Zona Suroeste
3;Cangallo;Los Morochucos;41;7;2024;Zona Norte
3;Cangallo;Los Morochucos;41;7;2024;Zona Sur
3;Cangallo;Los Morochucos;41;7;2024;Zona Este
3;Cangallo;Los Morochucos;40;7;2024;Zona Oeste
3;Cangallo;Los Morochucos;40;7;2024;Zona Centro
3;Cangallo;Los Morochucos;40;7;2024;Zona Noreste
3;Cangallo;Los Morochucos;40;7;2024;Zona Noroeste
3;Cangallo;Los Morochucos;40;7;2024;Zona Sureste
3;Cangallo;Los Morochucos;40;6;2024;Zona Suroeste
4;Cangallo;María Parado de Bellido;11;3;2024;Zona Norte
4;Cangallo;María Parado de Bellido;11;3;2024;Zona Sur
4;Cangallo;María Parado de Bellido;11;3;2024;Zona Este
4;Cangallo;María Parado de Bellido;11;2;2024;Zona Oeste
4;Cangallo;María Parado de Bellido;11;2;2024;Zona Centro
4;Cangallo;María Parado de Bellido;11;2;2024;Zona Noreste
